"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Матчинг","1","Упрощённый satisfaction flow","9","0","","0"
"0","Администрирование","0","Журнал аудита","3","0","","0"
"0","Каталог книг","0","Саммари участников","3","0","","0"
"0","Администрирование","0","Редактирование интро","2","0","","0"
"0","Авторизация","0","Регистрация","3","0","","0"
"0","Admin","0","Смена статуса книги","1","0","","0"
"0","Администрирование","0","Статус книги","3","0","","0"
"0","Авторизация","0","Вход и выход","2","0","","0"
"0","UI","0","Тема","2","0","","0"
"0","Матчинг","0","Auth gate на /matching","2","0","","0"
"1","UI","0","Состояния интерфейса","24","0","","0"
"0","Профиль","0","Мои книги — статусы","2","0","","0"
"0","","2","","5","0","","0"
"0","Матчинг","0","Семантическая аналитика и глобальный аудит","2","0","","0"
"0","Авторизация","0","Telegram","2","0","","0"
"0","Admin","0","Слияние пользователей","1","0","","0"
"0","Каталог книг","0","Приоритеты книг","5","0","","0"
"0","Администрирование","0","Панель управления","3","0","","0"
"0","Каталог книг","0","Карточка книги","1","0","","0"
"0","Каталог книг","0","Предложить книгу","4","0","","0"
"0","Профиль","0","Редактирование профиля","2","0","","0"
"0","Администрирование","0","Каталог книг","3","0","","0"
"0","Администрирование","0","Карточка пользователя","4","0","","0"
"0","Каталог книг","0","Поиск","3","0","","0"
"0","Матчинг","0","Observer и аварийные действия администратора","2","0","","0"
"0","UI","0","Режим просмотра","2","0","","0"
"0","Администрирование","0","Виджеты подвала","1","0","","0"
"0","Администрирование","0","Удаление пользователей","1","0","","0"
"0","Администрирование","0","Тег книги","2","0","","0"
"0","Каталог книг","0","Полезность саммари","1","0","","0"
